t`s`float	(deriv((v(txop_bump)-v(txon_bump)))/0.83873)`V/s
0	0
1.1569e-011	0
1.1569e-011	11844.2
1.3069e-011	0
1.4569e-011	11844.2
1.4569e-011	0
1.6069e-011	11844.2
1.7569e-011	0
2.6569e-011	0
2.6569e-011	35532.7
2.8069e-011	0
2.9569e-011	35532.7
2.9569e-011	0
3.1069e-011	35532.7
3.2569e-011	0
4.1569e-011	0
4.1569e-011	11844.2
4.3069e-011	0
4.4569e-011	11844.2
4.4569e-011	0
4.6069e-011	11844.2
4.7569e-011	0
5.9569e-011	0
5.9569e-011	11844.2
6.1069e-011	0
6.2569e-011	11844.2
6.2569e-011	0
6.4069e-011	11844.2
6.5569e-011	0
6.5569e-011	23688.5
6.7069e-011	0
6.8569e-011	23688.5
6.8569e-011	0
7.0069e-011	23688.5
7.1569e-011	0
8.01136e-011	0
8.01136e-011	12149.8
8.08448e-011	0
8.2307e-011	12149.8
8.2307e-011	0
8.37693e-011	12149.8
8.52693e-011	0
1.00269e-010	0
1.00269e-010	11844.2
1.01769e-010	0
1.03269e-010	11844.2
1.03269e-010	0
1.04769e-010	11844.2
1.06227e-010	0
1.12284e-010	0
1.12284e-010	23688.4
1.13784e-010	0
1.15284e-010	23688.4
1.15284e-010	0
1.16784e-010	23688.4
1.18284e-010	0
1.24284e-010	0
1.24284e-010	11844.2
1.25784e-010	0
1.27284e-010	11844.2
1.27284e-010	0
1.28784e-010	11844.2
1.30284e-010	0
1.48284e-010	0
1.48284e-010	11844.2
1.49784e-010	0
1.51284e-010	11844.2
1.51284e-010	0
1.52784e-010	11844.2
1.54284e-010	0
1.66284e-010	0
1.66284e-010	23688.4
1.67784e-010	0
1.69284e-010	23688.4
1.69284e-010	0
1.70784e-010	23688.4
1.72284e-010	0
1.78284e-010	0
1.78284e-010	11844.2
1.79784e-010	0
1.81284e-010	11844.2
1.81284e-010	0
1.82784e-010	11844.2
1.84284e-010	0
2.11284e-010	0
2.11284e-010	11844.3
2.12784e-010	0
2.14284e-010	11844.3
2.14284e-010	0
2.15784e-010	11844.3
2.17284e-010	0
2.3433e-010	0
2.3433e-010	23688.3
2.35184e-010	0
2.36684e-010	23688.3
2.36684e-010	0
2.38184e-010	23688.3
2.39684e-010	0
2.51099e-010	0
2.51099e-010	14622.5
2.52314e-010	0
2.53529e-010	14622.5
2.53529e-010	0
2.54744e-010	14622.5
2.55959e-010	0
2.99873e-010	0
2.99873e-010	26982.2
3.00531e-010	0
3.01189e-010	26982.2
3.01189e-010	0
3.01848e-010	26982.2
3.02506e-010	0
3.22073e-010	0
3.22073e-010	23688.3
3.23573e-010	0
3.25073e-010	23688.3
3.25073e-010	0
3.26573e-010	23688.3
3.28073e-010	0
3.58073e-010	0
3.58073e-010	11844.3
3.59573e-010	0
3.61073e-010	11844.3
3.61073e-010	0
3.62573e-010	11844.3
3.64073e-010	0
4.4019e-010	0
4.4019e-010	27416.8
4.40838e-010	0
4.41486e-010	27416.8
4.41486e-010	0
4.42134e-010	27416.8
4.42782e-010	0
4.55742e-010	0
4.55742e-010	54833.6
4.5639e-010	0
4.57038e-010	54833.6
4.57038e-010	0
4.57686e-010	54833.6
4.58334e-010	0
5.18922e-010	0
5.18922e-010	35532.1
5.21472e-010	35532.1
5.24472e-010	35532.8
5.27472e-010	11844.3
5.30622e-010	-35532.8
5.33322e-010	-302685
5.36827e-010	-644851
5.3846e-010	-1.07624e+006
5.38463e-010	-1.03242e+007
5.38463e-010	0
5.38465e-010	-1.03242e+007
5.38468e-010	0
5.38479e-010	0
5.38479e-010	-2.5604e+006
5.38486e-010	0
5.385e-010	-2.5604e+006
5.38541e-010	-640741
5.38624e-010	-1.28084e+006
5.38833e-010	-1.7616e+006
5.38989e-010	-1.03325e+006
5.39089e-010	-1.42165e+006
5.39278e-010	-1.95423e+006
5.394e-010	-1.74573e+006
5.39462e-010	-1.74573e+006
5.39462e-010	0
5.39469e-010	0
5.39469e-010	-3.03365e+006
5.39472e-010	0
5.39478e-010	-3.03365e+006
5.39478e-010	0
5.39484e-010	-3.03365e+006
5.39495e-010	0
5.39495e-010	-2.27254e+006
5.39507e-010	0
5.3953e-010	-2.27254e+006
5.39601e-010	-1.51503e+006
5.39741e-010	-2.08378e+006
5.40023e-010	-1.70491e+006
5.40586e-010	-1.56284e+006
5.41711e-010	-402549
5.43212e-010	1.06557e+006
5.44712e-010	3.00728e+006
5.46213e-010	4.59362e+006
5.47713e-010	7.83786e+006
5.49214e-010	1.1816e+007
5.51614e-010	1.48527e+007
5.54314e-010	1.43578e+007
5.57149e-010	13160.2
5.59579e-010	-3.93491e+007
5.62009e-010	-1.16512e+008
5.64439e-010	-2.30421e+008
5.67607e-010	-3.67405e+008
5.68989e-010	-4.85617e+008
5.69089e-010	-5.285e+008
5.69239e-010	-5.43099e+008
5.69539e-010	-5.6504e+008
5.70139e-010	-5.84578e+008
5.71339e-010	-4.90001e+008
5.72939e-010	-1.6314e+008
5.74539e-010	5.90376e+008
5.76139e-010	1.94384e+009
5.77739e-010	3.98275e+009
5.79339e-010	6.64673e+009
5.81019e-010	9.72209e+009
5.82459e-010	1.26956e+010
5.83971e-010	1.52318e+010
5.85267e-010	1.73194e+010
5.86563e-010	1.92953e+010
5.87859e-010	2.1765e+010
5.89155e-010	2.49408e+010
5.90451e-010	2.86386e+010
5.91747e-010	3.24491e+010
5.93043e-010	3.58856e+010
5.94339e-010	3.8597e+010
5.95635e-010	4.03008e+010
5.96931e-010	4.09063e+010
5.98227e-010	4.04818e+010
5.99523e-010	3.91636e+010
6.00819e-010	3.71528e+010
6.02115e-010	3.46486e+010
6.03411e-010	3.18416e+010
6.04707e-010	2.88978e+010
6.06003e-010	2.59451e+010
6.07299e-010	2.30736e+010
6.0869e-010	2.03546e+010
6.09797e-010	1.79922e+010
6.10904e-010	1.59969e+010
6.12011e-010	1.41723e+010
6.13118e-010	1.25212e+010
6.14226e-010	1.10385e+010
6.15333e-010	9.71373e+009
6.16993e-010	8.0928e+009
6.19208e-010	6.25336e+009
6.21422e-010	4.81756e+009
6.23636e-010	3.71386e+009
6.2585e-010	2.86692e+009
6.28458e-010	2.10248e+009
6.31458e-010	1.56167e+009
6.34458e-010	1.1563e+009
6.37458e-010	8.61576e+008
6.40458e-010	6.50535e+008
6.43458e-010	4.98762e+008
6.46458e-010	3.88272e+008
6.49458e-010	3.02218e+008
6.52458e-010	2.40095e+008
6.55458e-010	1.94708e+008
6.58458e-010	1.59684e+008
6.61458e-010	1.31066e+008
6.64458e-010	1.07925e+008
6.67458e-010	8.8761e+007
6.70458e-010	7.25935e+007
6.73458e-010	5.89726e+007
6.76458e-010	4.76249e+007
6.79458e-010	3.80201e+007
6.82458e-010	2.98831e+007
6.85458e-010	2.30608e+007
